asset_no,device_type,brand,model,serial,building,floor,department,location,department_code,status,site,contract_no,ip,mac,remote_id,updated_at,updated_by,remark,vendor,install_date,uninstall_date,warranty_end,device_group,cost_center,meter_required,meter_mode,asset_site_code
451,PRINTER THERMAL,ZEBRA,ZD421,D6J222614742,ตึกเชี่ยวชาญ,2,คลินิกเฉพาะทางมะเร็ง,ห้องตรวจ 1,มะเร็งวิทยา,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00447
448,PRINTER THERMAL,ZEBRA,ZD421,D6J222614789,ตึกเชี่ยวชาญ,2,คลินิกเฉพาะทางมะเร็ง,,มะเร็งวิทยา,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00444
449,PRINTER THERMAL,ZEBRA,ZD421,D6J222700796,ตึกเชี่ยวชาญ,2,คลินิกเฉพาะทางมะเร็ง,,มะเร็งวิทยา,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00445
450,PRINTER THERMAL,ZEBRA,ZD421,D6J222613618,ตึกเชี่ยวชาญ,2,คลินิกเฉพาะทางมะเร็ง,,มะเร็งวิทยา,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00446
295,PRINTER THERMAL,ZEBRA,ZD421,D6J222702218,ตึกผู้ป่วยนอกเดิม,1,คลินิกเบาหวาน,เจาะเลือด,พยาธิวิทยา/ห้องปฏิบัติการ,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00294
889,PRINTER THERMAL,ZEBRA,ZD421,D6J222614702,ตึกผู้ป่วยนอก (OPD),2,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00885
890,PRINTER THERMAL,ZEBRA,ZD421,D6J222614708,ตึกผู้ป่วยนอก (OPD),2,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00886
891,PRINTER THERMAL,ZEBRA,ZD421,D6J222613550,ตึกผู้ป่วยนอก (OPD),2,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00887
892,PRINTER THERMAL,ZEBRA,ZD421,D6J222700838,ตึกผู้ป่วยนอก (OPD),2,ห้องจ่ายยา,,เภสัชกรรม,Retired,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00888
893,PRINTER THERMAL,ZEBRA,ZD421,D6J222700865,ตึกผู้ป่วยนอก (OPD),2,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00889
894,PRINTER THERMAL,ZEBRA,ZD421,D6J222700911,ตึกผู้ป่วยนอก (OPD),2,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00890
458,PRINTER THERMAL,ZEBRA,ZD421,D6J222613795,ตึกเชี่ยวชาญ,2,หอผู้ป่วยเคมีบำบัด (เมตตารักษ์),,มะเร็งวิทยา,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00454
895,PRINTER THERMAL,ZEBRA,ZD421,D6J222613785,ตึกผู้ป่วยนอก (OPD),2,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00891
896,PRINTER THERMAL,ZEBRA,ZD421,D6J222614022,ตึกผู้ป่วยนอก (OPD),2,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00892
897,PRINTER THERMAL,ZEBRA,ZD421,D6J222614745,ตึกผู้ป่วยนอก (OPD),2,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00893
1019,BARCODE SCANNERS,ZEBRA,DS2208,S22149010552895,ตึกผู้ป่วยนอก (OPD),3,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-01015
1020,BARCODE SCANNERS,ZEBRA,DS2208,S22149010553961,ตึกผู้ป่วยนอก (OPD),3,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-01016
1021,BARCODE SCANNERS,ZEBRA,DS2208,S22149010552913,ตึกผู้ป่วยนอก (OPD),3,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-01017
1022,BARCODE SCANNERS,ZEBRA,DS2208,S22178010553513,ตึกผู้ป่วยนอก (OPD),3,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-01018
1023,BARCODE SCANNERS,ZEBRA,DS2208,S22149010552825,ตึกผู้ป่วยนอก (OPD),3,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-01019
1024,BARCODE SCANNERS,ZEBRA,DS2208,S22178010553490,ตึกผู้ป่วยนอก (OPD),3,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-01020
468,SCANNERS,CANON,DR-C230,JA491755,ตึกเชี่ยวชาญ,2,หน่วยเคมีบำบัดแบบไม่ค้างคืน,,มะเร็งวิทยา,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00464
1025,BARCODE SCANNERS,ZEBRA,DS2208,S22178010553500,ตึกผู้ป่วยนอก (OPD),3,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-01021
1026,BARCODE SCANNERS,ZEBRA,DS2208,S22150010551639,ตึกผู้ป่วยนอก (OPD),3,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-01022
1027,BARCODE SCANNERS,ZEBRA,DS2208,S22178010553988,ตึกผู้ป่วยนอก (OPD),3,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-01023
1028,BARCODE SCANNERS,ZEBRA,DS2208,S22178010553994,ตึกผู้ป่วยนอก (OPD),3,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-01024
473,BARCODE SCANNERS,ZEBRA,DS2208,S22176010554016,ตึกเชี่ยวชาญ,3,CVT Ward,,ศัลยกรรมหัวใจและทรวงอก,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00469
474,BARCODE SCANNERS,ZEBRA,DS2208,S22178010553525,ตึกเชี่ยวชาญ,3,CVT Ward,,ศัลยกรรมหัวใจและทรวงอก,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00470
475,BARCODE SCANNERS,ZEBRA,DS2208,S22176010553169,ตึกเชี่ยวชาญ,3,CVT Ward,,ศัลยกรรมหัวใจและทรวงอก,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00471
476,BARCODE SCANNERS,ZEBRA,DS2208,S22176010553172,ตึกเชี่ยวชาญ,3,CVT Ward,,ศัลยกรรมหัวใจและทรวงอก,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00472
477,BARCODE SCANNERS,ZEBRA,DS2208,S22176010553160,ตึกเชี่ยวชาญ,3,แผนกอายุรกรรมหัวใจ ,,อายุรกรรมหัวใจ,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00473
478,BARCODE SCANNERS,ZEBRA,DS2208,S22176010553164,ตึกเชี่ยวชาญ,3,แผนกอายุรกรรมหัวใจ ,,อายุรกรรมหัวใจ,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00474
479,BARCODE SCANNERS,ZEBRA,DS2208,S22176010553235,ตึกเชี่ยวชาญ,3,ศัลยกรรมหลอดเลือดสมอง,,ศัลยกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00475
480,BARCODE SCANNERS,ZEBRA,DS2208,S22176010553227,ตึกเชี่ยวชาญ,3,ศัลยกรรมหลอดเลือดสมอง,,ศัลยกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00476
481,BARCODE SCANNERS,ZEBRA,DS2208,S22176010553223,ตึกเชี่ยวชาญ,3,ศัลยกรรมหลอดเลือดสมอง,,ศัลยกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00477
482,BARCODE SCANNERS,ZEBRA,DS2208,S22178010553532,ตึกเชี่ยวชาญ,3,แผนกอายุรกรรมหัวใจ ,พิเศษ,อายุรกรรมหัวใจ,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00478
483,BARCODE SCANNERS,ZEBRA,DS2208,S22176010553168,ตึกเชี่ยวชาญ,3,แผนกอายุรกรรมหัวใจ ,พิเศษ,อายุรกรรมหัวใจ,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00479
484,PRINTER INKJET AIO,EPSON,L5290,X8H2029564,ตึก 69 ปี,2,หอผู้ป่วยตา หู คอ จมูก หญิง,,โสต ศอ นาสิกแพทย์ และจักษุแพทย์,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-06-03 21:35:01,nikorn2527@gmail.com,,,2026-06-04,,,COMPANY,,TRUE,TOTAL,UDH-00480
485,PRINTER INKJET AIO,EPSON,L5290,X8H2024861,ตึกเชี่ยวชาญ,3,แผนกอายุรกรรมหัวใจ,,อายุรกรรมหัวใจ,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,TRUE,TOTAL,UDH-00481
486,PRINTER INKJET AIO,EPSON,L5290,X8H2029209,ตึกเชี่ยวชาญ,3,แผนกอายุรกรรมหัวใจ,,อายุรกรรมหัวใจ,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,TRUE,TOTAL,UDH-00482
487,PRINTER INKJET AIO,EPSON,L5290,X8H2027551,ตึกเชี่ยวชาญ,3,ศัลยกรรมหลอดเลือดสมอง,,ศัลยกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,TRUE,TOTAL,UDH-00483
488,PRINTER INKJET AIO,EPSON,L5290,X8H2028220,ตึกเชี่ยวชาญ,3,CVT Ward,,ศัลยกรรมหัวใจและทรวงอก,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,TRUE,TOTAL,UDH-00484
489,PRINTER INKJET AIO,EPSON,L5290,X8H2029438,ตึกเชี่ยวชาญ,3,แผนกอายุรกรรมหัวใจ ,ห้องประชุม,อายุรกรรมหัวใจ,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,TRUE,TOTAL,UDH-00485
490,PRINTER INKJET AIO,EPSON,L5290,X8H2029568,ตึกเชี่ยวชาญ,3,แผนกอายุรกรรมหัวใจ ,พิเศษ,อายุรกรรมหัวใจ,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,TRUE,TOTAL,UDH-00486
491,PRINTER INKJET AIO,EPSON,L5290,X8H2027127,ตึกเชี่ยวชาญ,3,แผนกอายุรกรรมหัวใจ ,ห้องหัวหน้า,อายุรกรรมหัวใจ,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,TRUE,TOTAL,UDH-00487
492,PRINTER THERMAL,ZEBRA,ZD421,D6J222613578,ตึกเชี่ยวชาญ,3,แผนกอายุรกรรมหัวใจ ,,อายุรกรรมหัวใจ,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00488
493,PRINTER THERMAL,ZEBRA,ZD421,D6J222700904,ตึกเชี่ยวชาญ,3,แผนกอายุรกรรมหัวใจ ,,อายุรกรรมหัวใจ,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00489
494,PRINTER THERMAL,ZEBRA,ZD421,D6J222700856,ตึกเชี่ยวชาญ,3,ศัลยกรรมหลอดเลือดสมอง,,ศัลยกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00490
495,PRINTER THERMAL,ZEBRA,ZD421,D6J222613665,ตึกเชี่ยวชาญ,3,ศัลยกรรมหลอดเลือดสมอง,,ศัลยกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00491
496,PRINTER THERMAL,ZEBRA,ZD421,D6J222614743,ตึกเชี่ยวชาญ,3,ศัลยกรรมหลอดเลือดสมอง,,ศัลยกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00492
497,PRINTER THERMAL,ZEBRA,ZD421,D6J222614692,ตึกเชี่ยวชาญ,3,แผนกอายุรกรรมหัวใจ ,พิเศษ,อายุรกรรมหัวใจ,Retired,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-06-15 09:11:55,nikorn2527@gmail.com,,,,2026-06-15,,COMPANY,,FALSE,TOTAL,UDH-00493
498,SCANNERS,CANON,DR-C230,JA491929,ตึกเชี่ยวชาญ,3,CVT Ward,,ศัลยกรรมหัวใจและทรวงอก,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00494
499,SCANNERS,CANON,DR-C230,JA491973,ตึกเชี่ยวชาญ,3,แผนกอายุรกรรมหัวใจ ,,อายุรกรรมหัวใจ,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00495
500,SCANNERS,CANON,DR-C230,JA491776,ตึกเชี่ยวชาญ,3,ศัลยกรรมหลอดเลือดสมอง,,ศัลยกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00496
1048,BARCODE SCANNERS,ZEBRA,DS2208,S22149010552930,ตึก 69 ปี,1,ห้องจ่ายยา,ตึก 69,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-06-24 11:05:09,nikorn2527@gmail.com,,,,,,COMPANY,,FALSE,TOTAL,UDH-01044
1049,BARCODE SCANNERS,ZEBRA,DS2208,S22179010552103,ตึก 69 ปี,1,ห้องจ่ายยา,ตึก 69,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-06-24 11:05:09,nikorn2527@gmail.com,,,,,,COMPANY,,FALSE,TOTAL,UDH-01045
1059,PRINTER INKJET AIO,EPSON,L5290,X8H2029434,ตึกผู้ป่วยนอก (OPD),3,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,TRUE,TOTAL,UDH-01055
1060,PRINTER INKJET AIO,EPSON,L5190,X5NY055387,ตึกผู้ป่วยนอก (OPD),3,ห้องจ่ายยา,,เภสัชกรรม,Retired,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-07-21 13:13:53,bie3110greedisgood@gmail.con,,,,2026-07-21,,COMPANY,,TRUE,TOTAL,UDH-01056
1107,PRINTER THERMAL,ZEBRA,ZD421,D6J222613770,ตึกผู้ป่วยนอก (OPD),3,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-01103
1108,PRINTER THERMAL,ZEBRA,ZD421,D6J222614710,ตึกผู้ป่วยนอก (OPD),3,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-01104
507,PRINTER LASER,SAMSUNG,M4020ND,CNB3L1PSD4,ตึกเชี่ยวชาญ,4,หน่วยส่องกล้องระบบทางเดินหายใจ,,อายุรกรรมโรคปอดและระบบทางเดินหายใจ,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,TRUE,TOTAL,UDH-00503
1109,PRINTER THERMAL,ZEBRA,ZD421,D6J222613719,ตึกผู้ป่วยนอก (OPD),3,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-01105
1110,PRINTER THERMAL,ZEBRA,ZD421,D6J222614735,ตึกผู้ป่วยนอก (OPD),3,ห้องจ่ายยา,,เภสัชกรรม,Retired,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-01106
1111,PRINTER THERMAL,ZEBRA,ZD421,D6J222613727,ตึกผู้ป่วยนอก (OPD),3,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-01107
1112,PRINTER THERMAL,ZEBRA,ZD421,D6J222702205,ตึกผู้ป่วยนอก (OPD),3,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-01108
1113,PRINTER THERMAL,ZEBRA,ZD421,D6J222613129,ตึกผู้ป่วยนอก (OPD),3,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-01109
1114,PRINTER THERMAL,ZEBRA,ZD421,D6J22613099,ตึกผู้ป่วยนอก (OPD),3,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-01110
1242,PRINTER INKJET AIO,EPSON,L5290,X8H2029057,ตึกคลังพัสดุ (ใหม่),1,ห้องจ่ายยา,ห้องยาสีเขียว,เภสัชกรรม,Retired,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-06-24 11:08:27,nikorn2527@gmail.com,,,,2026-06-11,,COMPANY,,TRUE,TOTAL,UDH-01238
1244,PRINTER INKJET AIO,EPSON,L5290,X8H2024862,ตึกผู้ป่วยนอก (OPD),2,ห้องจ่ายยา,,เภสัชกรรม,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,TRUE,TOTAL,UDH-01240
516,BARCODE SCANNERS,ZEBRA,DS2208,S22149010552828,ตึกเชี่ยวชาญ,5,ธุรการ,OR,บริหาร/ยุทธศาสตร์,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00512
517,BARCODE SCANNERS,ZEBRA,DS2208,S22149010552939,ตึกเชี่ยวชาญ,5,ธุรการ,OR,บริหาร/ยุทธศาสตร์,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00513
518,BARCODE SCANNERS,ZEBRA,DS2208,S22149010552830,ตึกเชี่ยวชาญ,5,ธุรการ,OR,บริหาร/ยุทธศาสตร์,Active,โรงพยาบาลศูนย์อุดรธานี,อด 0033.1/380/2568 ลงวันที่ 26 สิงหาคม 2568,,,,2026-05-14 17:43:14,System,,,,,,COMPANY,,FALSE,TOTAL,UDH-00514
